Ticker,Company,Sector,Industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNH,UnitedHealth Group Incorporated,Healthcare,Healthcare Plans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNM,Unum Group,Financial,Insurance - Life,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNP,Union Pacific Corporation,Industrials,Railroads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPS,"United Parcel Service, Inc.",Industrials,Integrated Freight & Logistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URI,"United Rentals, Inc.",Industrials,Rental & Leasing Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USB,U.S. Bancorp,Financial,Banks - Regional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V,Visa Inc.,Financial,Credit Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAR,"Varian Medical Systems, Inc.",Healthcare,Medical Instruments & Supplies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFC,V.F. Corporation,Consumer Cyclical,Apparel Manufacturing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIAC,ViacomCBS Inc.,Communication Services,Entertainment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VLO,Valero Energy Corporation,Energy,Oil & Gas Refining & Marketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VMC,Vulcan Materials Company,Basic Materials,Building Materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VNO,Vornado Realty Trust,Real Estate,REIT - Office,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VRSK,"Verisk Analytics, Inc.",Industrials,Consulting Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VRSN,"VeriSign, Inc.",Technology,Software - Infrastructure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VRTX,Vertex Pharmaceuticals Incorporated,Healthcare,Biotechnology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VTR,"Ventas, Inc.",Real Estate,REIT - Healthcare Facilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VZ,Verizon Communications Inc.,Communication Services,Telecom Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAB,Wabtec Corporation,Industrials,Railroads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAT,Waters Corporation,Healthcare,Diagnostics & Research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WBA,"Walgreens Boots Alliance, Inc.",Healthcare,Pharmaceutical Retailers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDC,Western Digital Corporation,Technology,Computer Hardware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEC,"WEC Energy Group, Inc.",Utilities,Utilities - Regulated Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WELL,Welltower Inc.,Real Estate,REIT - Healthcare Facilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WFC,Wells Fargo & Company,Financial,Banks - Diversified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHR,Whirlpool Corporation,Consumer Cyclical,"Furnishings, Fixtures & Appliances",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WLTW,Willis Towers Watson Public Limited Company,Financial,Insurance Brokers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WM,"Waste Management, Inc.",Industrials,Waste Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WMB,"The Williams Companies, Inc.",Energy,Oil & Gas Midstream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WMT,Walmart Inc.,Consumer Defensive,Discount Stores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WRB,W. R. Berkley Corporation,Financial,Insurance - Property & Casualty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WRK,WestRock Company,Consumer Cyclical,Packaging & Containers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WST,"West Pharmaceutical Services, Inc.",Healthcare,Medical Instruments & Supplies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WU,The Western Union Company,Financial,Credit Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WY,Weyerhaeuser Company,Real Estate,REIT - Specialty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WYNN,"Wynn Resorts, Limited",Consumer Cyclical,Resorts & Casinos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XEL,Xcel Energy Inc.,Utilities,Utilities - Regulated Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLNX,"Xilinx, Inc.",Technology,Semiconductors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XOM,Exxon Mobil Corporation,Energy,Oil & Gas Integrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XRAY,DENTSPLY SIRONA Inc.,Healthcare,Medical Instruments & Supplies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XRX,Xerox Holdings Corporation,Technology,Information Technology Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XYL,Xylem Inc.,Industrials,Specialty Industrial Machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YUM,"Yum! Brands, Inc.",Consumer Cyclical,Restaurants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZBH,"Zimmer Biomet Holdings, Inc.",Healthcare,Medical Devices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZBRA,Zebra Technologies Corporation,Technology,Communication Equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZION,"Zions Bancorporation, National Association",Financial,Banks - Regional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZTS,Zoetis Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
